X,Y,tld,domain,lat,lon
-0.0583619,51.5276458,london,thegreenspace,51.5276458,-0.0583619
-0.0583619,51.5276458,london,rent2rent,51.5276458,-0.0583619
-0.083887,51.527634,london,charliewrights,51.527634,-0.083887
-0.083887,51.527634,london,talentmatch,51.527634,-0.083887
-0.083887,51.527634,london,youth,51.527634,-0.083887
-0.063617,51.527634,london,harunrashid,51.527634,-0.063617
-0.047831,51.527633,london,bellesoflondon,51.527633,-0.047831
-0.199623,51.527633,london,mccarley,51.527633,-0.199623
-0.199623,51.527633,london,bumptobaby,51.527633,-0.199623
-0.080601,51.527616,london,justso,51.527616,-0.080601
-0.125034,51.527598,london,tolo,51.527598,-0.125034
-0.125034,51.527598,london,healtheducation,51.527598,-0.125034
-0.060534,51.527592,london,agneshart,51.527592,-0.060534
-0.077243,51.527588,london,liftfestival,51.527588,-0.077243
-0.077243,51.527588,london,torc,51.527588,-0.077243
-0.077243,51.527588,london,them,51.527588,-0.077243
-0.077243,51.527588,london,chaingang,51.527588,-0.077243
-0.077243,51.527588,london,thefabulousbikerboys,51.527588,-0.077243
-0.077243,51.527588,london,brockley,51.527588,-0.077243
-0.186824,51.5275672,london,i-workout,51.5275672,-0.186824
0.019967,51.527564,london,conservatorys,51.527564,0.019967
-0.086832,51.527538,london,sidecar,51.527538,-0.086832
-0.057235617,51.52753067,london,wunderkammer,51.52753067,-0.057235617
-0.035178,51.527521,london,craftbeersociety,51.527521,-0.035178
-0.035178,51.527521,london,craftbeerdelivery,51.527521,-0.035178
-0.189465,51.527495,london,kurdishhouse,51.527495,-0.189465
-0.0769494,51.5274546,london,achtland,51.5274546,-0.0769494
-0.0146694,51.5274319,london,strangelove,51.5274319,-0.0146694
-0.312958,51.527429,london,grannytakesatrip,51.527429,-0.312958
-0.117068,51.527425,london,nutspubcrawl,51.527425,-0.117068
-0.1836693,51.5274127,london,auxiliary,51.5274127,-0.1836693
-0.133562,51.52741,london,stratfordinternationalparking,51.52741,-0.133562
-0.133562,51.52741,london,hs1ltd,51.52741,-0.133562
-0.133562,51.52741,london,stratfordinternational,51.52741,-0.133562
-0.133562,51.52741,london,stpancrasinternational,51.52741,-0.133562
-0.133562,51.52741,london,stratfordparking,51.52741,-0.133562
-0.133562,51.52741,london,highspeed,51.52741,-0.133562
-0.133562,51.52741,london,vrdc,51.52741,-0.133562
-0.133562,51.52741,london,parkingatstratford,51.52741,-0.133562
-0.133562,51.52741,london,stpancrashighspeed,51.52741,-0.133562
-0.133562,51.52741,london,stpancrasparking,51.52741,-0.133562
-0.133562,51.52741,london,st-pancras,51.52741,-0.133562
-0.133562,51.52741,london,highspeedtrains,51.52741,-0.133562
-0.133562,51.52741,london,st-p,51.52741,-0.133562
-0.133562,51.52741,london,together,51.52741,-0.133562
-0.133562,51.52741,london,parkingatstpancras,51.52741,-0.133562
-0.133562,51.52741,london,twist,51.52741,-0.133562
