X,Y,X,Y,tld,domain,lat,lon,hex_id
0.045037,51.69272,0.0450370000,51.6927200000,london,civilisedliving,51.6927200000,0.0450370000,6218
0.045037,51.69272,0.0450370000,51.6927200000,london,consciousimage,51.6927200000,0.0450370000,6218
0.045037,51.69272,0.0450370000,51.6927200000,london,lukedoonanpropertyexpert,51.6927200000,0.0450370000,6218
0.045037,51.69272,0.0450370000,51.6927200000,london,princedooleyproductions,51.6927200000,0.0450370000,6218
-0.114855,51.692517,-0.1148550000,51.6925170000,london,georgianandvictorianpropertyrestoration,51.6925170000,-0.1148550000,4475
-0.316596,51.692461,-0.3165960000,51.6924610000,london,hayleyparadise,51.6924610000,-0.3165960000,2317
-0.314182,51.692381,-0.3141820000,51.6923810000,london,melissaclark,51.6923810000,-0.3141820000,2317
-0.292083,51.692152,-0.2920830000,51.6921520000,london,suitsinthecity,51.6921520000,-0.2920830000,2566
-0.199543,51.692119,-0.1995430000,51.6921190000,london,ecochauffeurhire,51.6921190000,-0.1995430000,3562
-0.199543,51.692119,-0.1995430000,51.6921190000,london,hybridrentals,51.6921190000,-0.1995430000,3562
-0.199543,51.692119,-0.1995430000,51.6921190000,london,chauffeurrentals,51.6921190000,-0.1995430000,3562
-0.199543,51.692119,-0.1995430000,51.6921190000,london,ecorental,51.6921190000,-0.1995430000,3562
-0.31877,51.690775,-0.3187700000,51.6907750000,london,bestethnictv,51.6907750000,-0.3187700000,2234
-0.31877,51.690775,-0.3187700000,51.6907750000,london,bestpakistanitv,51.6907750000,-0.3187700000,2234
-0.31877,51.690775,-0.3187700000,51.6907750000,london,bestindiantv,51.6907750000,-0.3187700000,2234
0.011424,51.690737,0.0114240000,51.6907370000,london,masticman,51.6907370000,0.0114240000,5886
-0.173768,51.69012,-0.1737680000,51.6901200000,london,supercarexperiences,51.6901200000,-0.1737680000,3810
-0.1751975,51.6899027,-0.1751975000,51.6899027000,london,olivergardenvets,51.6899027000,-0.1751975000,3810
-0.1751975,51.6899027,-0.1751975000,51.6899027000,london,flowvetdiagnostics,51.6899027000,-0.1751975000,3810
-0.033396,51.689806,-0.0333960000,51.6898060000,london,zestliving,51.6898060000,-0.0333960000,5388
-0.010092,51.689692,-0.0100920000,51.6896920000,london,londonfinefoods,51.6896920000,-0.0100920000,5636
-0.029077,51.689634,-0.0290770000,51.6896340000,london,dlconstruction,51.6896340000,-0.0290770000,5388
-0.1759,51.689623,-0.1759000000,51.6896230000,london,olivergardenscience,51.6896230000,-0.1759000000,3810
-0.3256225,51.6892753,-0.3256225000,51.6892753000,london,buywatches,51.6892753000,-0.3256225000,2150
-0.182227,51.689155,-0.1822270000,51.6891550000,london,buildingservice,51.6891550000,-0.1822270000,3728
-0.325256,51.689114,-0.3252560000,51.6891140000,london,mayfairw1,51.6891140000,-0.3252560000,2150
-0.00866,51.688373,-0.0086600000,51.6883730000,london,highqualitybuilders,51.6883730000,-0.0086600000,5636
-0.175751,51.68829,-0.1757510000,51.6882900000,london,distilled,51.6882900000,-0.1757510000,3810
-0.175751,51.68829,-0.1757510000,51.6882900000,london,centralheating,51.6882900000,-0.1757510000,3810
-0.175751,51.68829,-0.1757510000,51.6882900000,london,serverspace,51.6882900000,-0.1757510000,3810
-0.3198131,51.6882876,-0.3198131000,51.6882876000,london,hgwatches,51.6882876000,-0.3198131000,2234
-0.174256,51.6881415,-0.1742560000,51.6881415000,london,flycast,51.6881415000,-0.1742560000,3810
-0.027251,51.688048,-0.0272510000,51.6880480000,london,blackburn,51.6880480000,-0.0272510000,5470
-0.029079,51.687269,-0.0290790000,51.6872690000,london,actionelectrics,51.6872690000,-0.0290790000,5387
-0.036235,51.687056,-0.0362350000,51.6870560000,london,jerkjoint,51.6870560000,-0.0362350000,5304
